Contrast name:,Group (SameAg)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.194874,0.048204,4.042662,5.000000,0.004948,0.037113
2,1804,180,1.000000,0.022117,0.083954,0.263442,5.000000,0.401361,0.860060
3,785,78,1.000000,0.020867,0.063716,0.327506,5.000000,0.378277,0.860060
4,650,65,1.000000,0.108003,0.055959,1.930040,5.000000,0.055742,0.209034
5,1167,116,1.000000,-0.035305,0.090515,-0.390053,5.000000,0.643720,0.868679
6,327,32,1.000000,0.503727,0.082142,6.132417,5.000000,0.000837,0.012555
7,189,18,1.000000,0.459502,0.142611,3.222056,5.000000,0.011706,0.058530
8,547,54,1.000000,-0.269601,0.213644,-1.261916,5.000000,0.868679,0.868679
9,200,20,1.000000,-0.258634,0.236491,-1.093630,5.000000,0.838008,0.868679
10,89,8,1.000000,-0.183058,0.254267,-0.719942,5.000000,0.748101,0.868679
11,191,19,1.000000,0.143699,0.209416,0.686189,5.000000,0.261556,0.784668
12,36,3,1.000000,-0.326015,0.415561,-0.784516,5.000000,0.765871,0.868679
13,30,3,1.000000,-0.064990,0.194207,-0.334642,5.000000,0.624262,0.868679
14,15,1,1.000000,-0.052543,0.087257,-0.602167,5.000000,0.713337,0.868679
15,14,1,1.000000,-0.086177,0.079971,-1.077601,5.000000,0.834784,0.868679
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
