Contrast name:,Group (DiffAll-SameMan)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.068309,0.136322,-0.501087,5.000000,0.681207,0.849951
2,1804,180,1.000000,-0.018480,0.142697,-0.129505,5.000000,0.548997,0.807584
3,785,78,1.000000,0.004793,0.107661,0.044515,5.000000,0.483108,0.807584
4,650,65,1.000000,0.000266,0.118038,0.002252,5.000000,0.499145,0.807584
5,1167,116,1.000000,-0.034244,0.139268,-0.245887,5.000000,0.592228,0.807584
6,327,32,1.000000,0.044549,0.167076,0.266639,5.000000,0.400197,0.807584
7,189,18,1.000000,-0.149666,0.220122,-0.679924,5.000000,0.736624,0.849951
8,547,54,1.000000,-0.190162,0.090799,-2.094307,5.000000,0.954798,0.990475
9,200,20,1.000000,0.567357,0.315069,1.800740,5.000000,0.065816,0.301178
10,89,8,1.000000,0.367344,0.154155,2.382956,5.000000,0.031467,0.261744
11,191,19,1.000000,-0.039566,0.352619,-0.112207,5.000000,0.542488,0.807584
12,36,3,1.000000,-0.457425,0.134156,-3.409639,5.000000,0.990475,0.990475
13,30,3,1.000000,0.376119,0.263791,1.425819,5.000000,0.106624,0.319873
14,15,1,1.000000,0.198298,0.120454,1.646259,5.000000,0.080314,0.301178
15,14,1,1.000000,0.356652,0.155086,2.299702,5.000000,0.034899,0.261744
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
