Contrast name:,Group (DiffAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.199752,0.037684,5.300718,5.000000,0.001595,0.015207
2,1804,180,1.000000,0.024467,0.112420,0.217642,5.000000,0.418156,0.522694
3,785,78,1.000000,0.019397,0.046634,0.415950,5.000000,0.347348,0.473657
4,650,65,1.000000,0.115311,0.074382,1.550265,5.000000,0.090885,0.194754
5,1167,116,1.000000,-0.023083,0.086624,-0.266471,5.000000,0.599742,0.657392
6,327,32,1.000000,0.443497,0.088448,5.014217,5.000000,0.002028,0.015207
7,189,18,1.000000,0.432981,0.186180,2.325602,5.000000,0.033790,0.126713
8,547,54,1.000000,-0.060324,0.140345,-0.429825,5.000000,0.657392,0.657392
9,200,20,1.000000,0.441048,0.259040,1.702628,5.000000,0.074685,0.186712
10,89,8,1.000000,0.316298,0.221095,1.430598,5.000000,0.105974,0.198702
11,191,19,1.000000,0.274739,0.278044,0.988113,5.000000,0.184236,0.276353
12,36,3,1.000000,-0.092108,0.218377,-0.421784,5.000000,0.654648,0.657392
13,30,3,1.000000,0.345156,0.199522,1.729909,5.000000,0.072104,0.186712
14,15,1,1.000000,0.125822,0.120492,1.044242,5.000000,0.172103,0.276353
15,14,1,1.000000,0.152380,0.052248,2.916496,5.000000,0.016574,0.082871
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
