Contrast name:,Group (SameAg-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.044711,0.113042,-0.395527,5.000000,0.645617,0.955433
2,1804,180,1.000000,0.060689,0.065250,0.930100,5.000000,0.197505,0.651938
3,785,78,1.000000,0.072068,0.088171,0.817363,5.000000,0.225449,0.651938
4,650,65,1.000000,0.042917,0.061587,0.696849,5.000000,0.258479,0.651938
5,1167,116,1.000000,0.080634,0.117050,0.688885,5.000000,0.260775,0.651938
6,327,32,1.000000,0.215134,0.159030,1.352788,5.000000,0.117039,0.651938
7,189,18,1.000000,0.186990,0.210265,0.889307,5.000000,0.207286,0.651938
8,547,54,1.000000,-0.312075,0.228127,-1.367986,5.000000,0.885205,0.955433
9,200,20,1.000000,-0.530925,0.375505,-1.413896,5.000000,0.891737,0.955433
10,89,8,1.000000,-0.321697,0.299923,-1.072597,5.000000,0.833766,0.955433
11,191,19,1.000000,-0.081998,0.279825,-0.293032,5.000000,0.609365,0.955433
12,36,3,1.000000,-0.495819,0.502634,-0.986441,5.000000,0.815392,0.955433
13,30,3,1.000000,-0.392553,0.133385,-2.943005,5.000000,0.983928,0.983928
14,15,1,1.000000,0.103197,0.248001,0.416116,5.000000,0.347292,0.744196
15,14,1,1.000000,-0.183213,0.138582,-1.322055,5.000000,0.878300,0.955433
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
