Contrast name:,Group (DiffAll-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.039833,0.101984,-0.390583,5.000000,0.643904,0.737077
2,1804,180,1.000000,0.063040,0.062536,1.008051,5.000000,0.179847,0.371507
3,785,78,1.000000,0.070598,0.067289,1.049174,5.000000,0.171070,0.371507
4,650,65,1.000000,0.050225,0.070325,0.714186,5.000000,0.253529,0.422548
5,1167,116,1.000000,0.092857,0.100124,0.927414,5.000000,0.198137,0.371507
6,327,32,1.000000,0.154904,0.125298,1.236289,5.000000,0.135628,0.371507
7,189,18,1.000000,0.160469,0.113691,1.411446,5.000000,0.108602,0.371507
8,547,54,1.000000,-0.102797,0.197024,-0.521751,5.000000,0.687938,0.737077
9,200,20,1.000000,0.168758,0.110107,1.532663,5.000000,0.092966,0.371507
10,89,8,1.000000,0.177658,0.126662,1.402610,5.000000,0.109835,0.371507
11,191,19,1.000000,0.049043,0.278889,0.175850,5.000000,0.433656,0.564763
12,36,3,1.000000,-0.261912,0.323232,-0.810290,5.000000,0.772703,0.772703
13,30,3,1.000000,0.017593,0.138136,0.127357,5.000000,0.451811,0.564763
14,15,1,1.000000,0.281563,0.143172,1.966604,5.000000,0.053193,0.371507
15,14,1,1.000000,0.055344,0.101830,0.543490,5.000000,0.305069,0.457603
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
