Contrast name:,Group (SameMan-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.028476,0.117124,0.243125,5.000000,0.408784,0.557432
2,1804,180,1.000000,0.081520,0.116978,0.696882,5.000000,0.258470,0.446303
3,785,78,1.000000,0.065805,0.071711,0.917648,5.000000,0.200451,0.446303
4,650,65,1.000000,0.049959,0.074053,0.674640,5.000000,0.264917,0.446303
5,1167,116,1.000000,0.127101,0.110394,1.151340,5.000000,0.150828,0.446303
6,327,32,1.000000,0.110355,0.079182,1.393693,5.000000,0.111093,0.446303
7,189,18,1.000000,0.310135,0.121405,2.554554,5.000000,0.025491,0.382372
8,547,54,1.000000,0.087364,0.153307,0.569867,5.000000,0.296708,0.446303
9,200,20,1.000000,-0.398600,0.260481,-1.530247,5.000000,0.906744,0.974902
10,89,8,1.000000,-0.189686,0.170992,-1.109328,5.000000,0.841114,0.974902
11,191,19,1.000000,0.088609,0.156211,0.567238,5.000000,0.297535,0.446303
12,36,3,1.000000,0.195513,0.234211,0.834771,5.000000,0.220947,0.446303
13,30,3,1.000000,-0.358526,0.230255,-1.557080,5.000000,0.909909,0.974902
14,15,1,1.000000,0.083265,0.064646,1.288005,5.000000,0.127065,0.446303
15,14,1,1.000000,-0.301308,0.100481,-2.998657,5.000000,0.984927,0.984927
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
