Contrast name:,Group (SameMan)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.182496,0.097518,1.871410,5.000000,0.060098,0.154537
2,1399,139,1.000000,0.203171,0.148843,1.365001,5.000000,0.115233,0.230465
3,4863,486,1.000000,0.209730,0.109980,1.906973,5.000000,0.057416,0.154537
4,5104,510,1.000000,-0.210520,0.125960,-1.671323,5.000000,0.922239,0.922239
5,888,88,1.000000,0.182577,0.148885,1.226294,5.000000,0.137342,0.247216
6,1015,101,1.000000,-0.167157,0.165660,-1.009036,5.000000,0.820367,0.868624
7,3526,352,1.000000,0.370907,0.114669,3.234587,5.000000,0.011544,0.069263
8,3381,338,1.000000,0.334175,0.139779,2.390734,5.000000,0.031166,0.112196
9,1858,185,1.000000,0.059772,0.060663,0.985311,5.000000,0.184859,0.302497
10,1770,177,1.000000,0.013500,0.098561,0.136973,5.000000,0.448198,0.617755
11,2147,214,1.000000,0.309161,0.078803,3.923198,5.000000,0.005573,0.050158
12,2371,237,1.000000,0.159430,0.115966,1.374801,5.000000,0.113803,0.230465
13,2447,244,1.000000,0.082337,0.199794,0.412107,5.000000,0.348667,0.523001
14,1345,134,1.000000,-0.012860,0.245537,-0.052374,5.000000,0.519871,0.623845
15,2065,206,1.000000,0.566883,0.143145,3.960204,5.000000,0.005370,0.050158
16,2222,222,1.000000,0.564830,0.223424,2.528059,5.000000,0.026327,0.112196
17,1400,140,1.000000,0.005954,0.115699,0.051459,5.000000,0.480476,0.617755
18,1313,131,1.000000,-0.058994,0.073625,-0.801274,5.000000,0.770330,0.866621
