Contrast name:,Group (SameMan-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.179137,0.139428,-1.284799,5.000000,0.872419,0.961977
2,1399,139,1.000000,-0.259706,0.147158,-1.764814,5.000000,0.931067,0.961977
3,4863,486,1.000000,-0.045097,0.232701,-0.193798,5.000000,0.573019,0.961977
4,5104,510,1.000000,-0.420931,0.303442,-1.387187,5.000000,0.887981,0.961977
5,888,88,1.000000,0.390463,0.199024,1.961887,5.000000,0.053515,0.961977
6,1015,101,1.000000,-0.257745,0.337418,-0.763874,5.000000,0.760292,0.961977
7,3526,352,1.000000,-0.017171,0.145118,-0.118324,5.000000,0.544791,0.961977
8,3381,338,1.000000,-0.026116,0.155179,-0.168294,5.000000,0.563526,0.961977
9,1858,185,1.000000,0.004677,0.095863,0.048788,5.000000,0.481489,0.961977
10,1770,177,1.000000,-0.021870,0.112201,-0.194915,5.000000,0.573434,0.961977
11,2147,214,1.000000,0.003970,0.142147,0.027929,5.000000,0.489400,0.961977
12,2371,237,1.000000,-0.049582,0.164979,-0.300532,5.000000,0.612067,0.961977
13,2447,244,1.000000,-0.280534,0.146842,-1.910442,5.000000,0.942839,0.961977
14,1345,134,1.000000,-0.475868,0.213275,-2.231242,5.000000,0.961977,0.961977
15,2065,206,1.000000,-0.009402,0.135414,-0.069431,5.000000,0.526331,0.961977
16,2222,222,1.000000,-0.179883,0.197375,-0.911377,5.000000,0.798053,0.961977
17,1400,140,1.000000,0.004596,0.201704,0.022788,5.000000,0.491351,0.961977
18,1313,131,1.000000,-0.098907,0.129979,-0.760949,5.000000,0.759493,0.961977
