Contrast name:,Group (DiffAll-SameMan)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.172911,0.145778,1.186125,5.000000,0.144430,0.402448
2,1399,139,1.000000,0.302700,0.158217,1.913191,5.000000,0.056959,0.281532
3,4863,486,1.000000,0.259806,0.288792,0.899630,5.000000,0.204775,0.409550
4,5104,510,1.000000,0.488726,0.265592,1.840138,5.000000,0.062563,0.281532
5,888,88,1.000000,-0.078328,0.191636,-0.408735,5.000000,0.650174,0.650174
6,1015,101,1.000000,0.306015,0.238221,1.284584,5.000000,0.127615,0.402448
7,3526,352,1.000000,0.030241,0.139509,0.216765,5.000000,0.418479,0.477049
8,3381,338,1.000000,0.030966,0.134661,0.229953,5.000000,0.413620,0.477049
9,1858,185,1.000000,0.023132,0.114675,0.201717,5.000000,0.424044,0.477049
10,1770,177,1.000000,0.145264,0.143461,1.012564,5.000000,0.178866,0.402448
11,2147,214,1.000000,0.054436,0.141437,0.384882,5.000000,0.358076,0.477049
12,2371,237,1.000000,0.115426,0.181114,0.637314,5.000000,0.275978,0.477049
13,2447,244,1.000000,0.276494,0.142592,1.939065,5.000000,0.055101,0.281532
14,1345,134,1.000000,0.394765,0.165557,2.384470,5.000000,0.031408,0.281532
15,2065,206,1.000000,0.052790,0.112212,0.470448,5.000000,0.328921,0.477049
16,2222,222,1.000000,0.094062,0.226305,0.415641,5.000000,0.347454,0.477049
17,1400,140,1.000000,0.013713,0.179695,0.076310,5.000000,0.471066,0.498776
18,1313,131,1.000000,0.139102,0.133085,1.045212,5.000000,0.171900,0.402448
