Contrast name:,Group (DiffAll-SameAg)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.064024,0.077499,0.826127,5.000000,0.223174,0.320759
2,1399,139,1.000000,0.079760,0.142647,0.559143,5.000000,0.300091,0.360109
3,4863,486,1.000000,0.316996,0.116717,2.715930,5.000000,0.020989,0.053972
4,5104,510,1.000000,0.223476,0.073154,3.054879,5.000000,0.014133,0.046282
5,888,88,1.000000,0.175081,0.304946,0.574138,5.000000,0.295368,0.360109
6,1015,101,1.000000,0.331257,0.076734,4.316949,5.000000,0.003796,0.046282
7,3526,352,1.000000,0.098377,0.067969,1.447372,5.000000,0.103723,0.233376
8,3381,338,1.000000,0.009574,0.076402,0.125310,5.000000,0.452580,0.509153
9,1858,185,1.000000,0.059698,0.067665,0.882256,5.000000,0.209014,0.320759
10,1770,177,1.000000,0.094431,0.077121,1.224461,5.000000,0.137659,0.275318
11,2147,214,1.000000,0.237355,0.065293,3.635230,5.000000,0.007489,0.046282
12,2371,237,1.000000,0.141364,0.047462,2.978464,5.000000,0.015427,0.046282
13,2447,244,1.000000,0.089567,0.112837,0.793769,5.000000,0.231660,0.320759
14,1345,134,1.000000,0.084305,0.082130,1.026486,5.000000,0.175867,0.316561
15,2065,206,1.000000,-0.086906,0.115255,-0.754028,5.000000,0.757596,0.779339
16,2222,222,1.000000,-0.082519,0.098721,-0.835886,5.000000,0.779339,0.779339
17,1400,140,1.000000,0.257913,0.075982,3.394402,5.000000,0.009684,0.046282
18,1313,131,1.000000,0.184664,0.058608,3.150831,5.000000,0.012678,0.046282
