Contrast name:,Group (DiffAll-SamePath)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.108776,0.069284,1.569986,5.000000,0.088607,0.144994
2,1399,139,1.000000,0.244777,0.131792,1.857297,5.000000,0.061198,0.110156
3,4863,486,1.000000,0.165717,0.173370,0.955856,5.000000,0.191521,0.215461
4,5104,510,1.000000,0.341774,0.114805,2.977001,5.000000,0.015453,0.092720
5,888,88,1.000000,0.074228,0.222864,0.333062,5.000000,0.376300,0.398435
6,1015,101,1.000000,0.247236,0.109494,2.257987,5.000000,0.036768,0.110156
7,3526,352,1.000000,0.149858,0.077615,1.930803,5.000000,0.055688,0.110156
8,3381,338,1.000000,0.167483,0.128509,1.303275,5.000000,0.124632,0.163243
9,1858,185,1.000000,0.102276,0.081645,1.252704,5.000000,0.132855,0.163243
10,1770,177,1.000000,0.176930,0.072781,2.430977,5.000000,0.029655,0.110156
11,2147,214,1.000000,0.154849,0.079779,1.940976,5.000000,0.054967,0.110156
12,2371,237,1.000000,0.140010,0.066135,2.117026,5.000000,0.043918,0.110156
13,2447,244,1.000000,0.150045,0.049994,3.001267,5.000000,0.015028,0.092720
14,1345,134,1.000000,0.254106,0.078843,3.222938,5.000000,0.011694,0.092720
15,2065,206,1.000000,0.028019,0.134963,0.207604,5.000000,0.421864,0.421864
16,2222,222,1.000000,0.249459,0.170185,1.465809,5.000000,0.101301,0.151951
17,1400,140,1.000000,0.124201,0.100657,1.233903,5.000000,0.136036,0.163243
18,1313,131,1.000000,0.157080,0.074728,2.102034,5.000000,0.044761,0.110156
