Contrast name:,Group (Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.361633,0.166639,2.170163,5.000000,0.041063,0.091381
2,1399,139,1.000000,0.462877,0.134333,3.445733,5.000000,0.009161,0.072259
3,4863,486,1.000000,0.254827,0.222970,1.142876,5.000000,0.152422,0.249418
4,5104,510,1.000000,0.210411,0.203195,1.035517,5.000000,0.173944,0.260917
5,888,88,1.000000,-0.207886,0.271025,-0.767035,5.000000,0.761152,0.761152
6,1015,101,1.000000,0.090588,0.196760,0.460397,5.000000,0.332280,0.388946
7,3526,352,1.000000,0.388078,0.182392,2.127717,5.000000,0.043327,0.091381
8,3381,338,1.000000,0.360291,0.149653,2.407510,5.000000,0.030526,0.091381
9,1858,185,1.000000,0.055095,0.097366,0.565854,5.000000,0.297971,0.388946
10,1770,177,1.000000,0.035370,0.084078,0.420677,5.000000,0.345730,0.388946
11,2147,214,1.000000,0.305191,0.097087,3.143487,5.000000,0.012783,0.072259
12,2371,237,1.000000,0.209012,0.100205,2.085847,5.000000,0.045690,0.091381
13,2447,244,1.000000,0.362870,0.184007,1.972048,5.000000,0.052823,0.095082
14,1345,134,1.000000,0.463009,0.216671,2.136916,5.000000,0.042825,0.091381
15,2065,206,1.000000,0.576285,0.186363,3.092266,5.000000,0.013545,0.072259
16,2222,222,1.000000,0.744713,0.252977,2.943798,5.000000,0.016058,0.072259
17,1400,140,1.000000,0.001357,0.120096,0.011303,5.000000,0.495709,0.524869
18,1313,131,1.000000,0.039914,0.076156,0.524106,5.000000,0.311300,0.388946
