Contrast name:,Group (SamePath)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.246632,0.188895,1.305655,5.000000,0.124257,0.248514
2,1399,139,1.000000,0.261094,0.160914,1.622566,5.000000,0.082805,0.248514
3,4863,486,1.000000,0.303819,0.211365,1.437413,5.000000,0.105054,0.248514
4,5104,510,1.000000,-0.063568,0.099894,-0.636352,5.000000,0.723733,0.868480
5,888,88,1.000000,0.030021,0.117640,0.255195,5.000000,0.404369,0.606553
6,1015,101,1.000000,-0.108378,0.080618,-1.344347,5.000000,0.881698,0.963964
7,3526,352,1.000000,0.251290,0.192097,1.308138,5.000000,0.123867,0.248514
8,3381,338,1.000000,0.197658,0.105972,1.865187,5.000000,0.060580,0.248514
9,1858,185,1.000000,-0.019373,0.092725,-0.208928,5.000000,0.578625,0.743947
10,1770,177,1.000000,-0.018166,0.102742,-0.176811,5.000000,0.566702,0.743947
11,2147,214,1.000000,0.208749,0.135516,1.540393,5.000000,0.092047,0.248514
12,2371,237,1.000000,0.134846,0.112328,1.200468,5.000000,0.141862,0.255352
13,2447,244,1.000000,0.208786,0.144617,1.443719,5.000000,0.104209,0.248514
14,1345,134,1.000000,0.127800,0.161477,0.791440,5.000000,0.232279,0.380093
15,2065,206,1.000000,0.591654,0.141772,4.173288,5.000000,0.004356,0.078402
16,2222,222,1.000000,0.409433,0.169149,2.420549,5.000000,0.030038,0.248514
17,1400,140,1.000000,-0.104535,0.053127,-1.967643,5.000000,0.946878,0.963964
18,1313,131,1.000000,-0.076971,0.033848,-2.274054,5.000000,0.963964,0.963964
