Contrast name:,Group (SameAg-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,-0.070249,0.129063,-0.544303,5.000000,0.695191,0.993101
2,1399,139,1.000000,-0.036766,0.135297,-0.271742,5.000000,0.601658,0.993101
3,4863,486,1.000000,-0.102287,0.083726,-1.221689,5.000000,0.861861,0.993101
4,5104,510,1.000000,-0.155681,0.108045,-1.440898,5.000000,0.895414,0.993101
5,888,88,1.000000,0.137053,0.317913,0.431103,5.000000,0.342174,0.993101
6,1015,101,1.000000,-0.282988,0.076197,-3.713907,5.000000,0.993101,0.993101
7,3526,352,1.000000,-0.085307,0.080481,-1.059963,5.000000,0.831172,0.993101
8,3381,338,1.000000,-0.004724,0.084708,-0.055769,5.000000,0.521157,0.993101
9,1858,185,1.000000,-0.031889,0.082255,-0.387684,5.000000,0.642898,0.993101
10,1770,177,1.000000,0.028963,0.066696,0.434250,5.000000,0.341103,0.993101
11,2147,214,1.000000,-0.178949,0.089195,-2.006256,5.000000,0.949436,0.993101
12,2371,237,1.000000,-0.075519,0.081964,-0.921371,5.000000,0.800434,0.993101
13,2447,244,1.000000,-0.093606,0.143200,-0.653671,5.000000,0.728906,0.993101
14,1345,134,1.000000,-0.165408,0.103496,-1.598203,5.000000,0.914555,0.993101
15,2065,206,1.000000,0.130294,0.180364,0.722394,5.000000,0.251208,0.993101
16,2222,222,1.000000,-0.003302,0.148797,-0.022189,5.000000,0.508422,0.993101
17,1400,140,1.000000,-0.239604,0.096748,-2.476570,5.000000,0.971962,0.993101
18,1313,131,1.000000,-0.144469,0.081500,-1.772634,5.000000,0.931758,0.993101
