Contrast name:,Group (SameAg-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.094910,0.064373,1.474375,5.000000,0.100194,0.586561
2,1399,139,1.000000,0.151032,0.132793,1.137352,5.000000,0.153470,0.586561
3,4863,486,1.000000,-0.067206,0.110629,-0.607489,5.000000,0.714972,0.978115
4,5104,510,1.000000,-0.012167,0.105430,-0.115403,5.000000,0.543691,0.889677
5,888,88,1.000000,0.032829,0.368091,0.089187,5.000000,0.466198,0.839156
6,1015,101,1.000000,-0.134464,0.104686,-1.284444,5.000000,0.872362,0.978115
7,3526,352,1.000000,-0.022550,0.055749,-0.404482,5.000000,0.648710,0.973065
8,3381,338,1.000000,0.069820,0.070215,0.994376,5.000000,0.182848,0.586561
9,1858,185,1.000000,0.015360,0.052288,0.293762,5.000000,0.390372,0.809243
10,1770,177,1.000000,0.027174,0.106773,0.254503,5.000000,0.404621,0.809243
11,2147,214,1.000000,-0.199645,0.074468,-2.680947,5.000000,0.978115,0.978115
12,2371,237,1.000000,-0.086275,0.072004,-1.198205,5.000000,0.857735,0.978115
13,2447,244,1.000000,0.107268,0.132888,0.807205,5.000000,0.228107,0.586561
14,1345,134,1.000000,0.093510,0.109340,0.855220,5.000000,0.215746,0.586561
15,2065,206,1.000000,0.315135,0.209424,1.504771,5.000000,0.096359,0.586561
16,2222,222,1.000000,0.278215,0.144220,1.929096,5.000000,0.055810,0.586561
17,1400,140,1.000000,-0.256543,0.121741,-2.107291,5.000000,0.955537,0.978115
18,1313,131,1.000000,-0.148429,0.085340,-1.739260,5.000000,0.928760,0.978115
