Contrast name:,Group (DiffAll-SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.158934,0.079728,1.993449,5.000000,0.051398,0.154194
2,1399,139,1.000000,0.230793,0.100778,2.290117,5.000000,0.035320,0.127150
3,4863,486,1.000000,0.249790,0.079863,3.127727,5.000000,0.013012,0.078072
4,5104,510,1.000000,0.211309,0.062325,3.390439,5.000000,0.009726,0.078072
5,888,88,1.000000,0.207910,0.158578,1.311088,5.000000,0.123404,0.222128
6,1015,101,1.000000,0.196794,0.059146,3.327236,5.000000,0.010421,0.078072
7,3526,352,1.000000,0.075827,0.073651,1.029547,5.000000,0.175213,0.242603
8,3381,338,1.000000,0.079394,0.101139,0.784996,5.000000,0.234001,0.300858
9,1858,185,1.000000,0.075058,0.109146,0.687683,5.000000,0.261123,0.309130
10,1770,177,1.000000,0.121605,0.114192,1.064920,5.000000,0.167806,0.242603
11,2147,214,1.000000,0.037710,0.058803,0.641299,5.000000,0.274782,0.309130
12,2371,237,1.000000,0.055088,0.045204,1.218670,5.000000,0.138663,0.226903
13,2447,244,1.000000,0.196834,0.071802,2.741347,5.000000,0.020363,0.091635
14,1345,134,1.000000,0.177815,0.112976,1.573919,5.000000,0.088160,0.177912
15,2065,206,1.000000,0.228229,0.130610,1.747411,5.000000,0.070496,0.177912
16,2222,222,1.000000,0.195696,0.124891,1.566935,5.000000,0.088956,0.177912
17,1400,140,1.000000,0.001370,0.176830,0.007746,5.000000,0.497060,0.497060
18,1313,131,1.000000,0.036235,0.111786,0.324145,5.000000,0.379474,0.401796
