Contrast name:,Group (SameAll-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.016193,0.066304,-0.244215,5.000000,0.591615,0.999137
2,1804,180,1.000000,-0.086536,0.024119,-3.587921,5.000000,0.992129,0.999137
3,785,78,1.000000,-0.090572,0.039946,-2.267352,5.000000,0.963660,0.999137
4,650,65,1.000000,-0.116030,0.019049,-6.091133,5.000000,0.999137,0.999137
5,1167,116,1.000000,-0.090762,0.038055,-2.385048,5.000000,0.968614,0.999137
6,327,32,1.000000,-0.219341,0.071627,-3.062277,5.000000,0.985985,0.999137
7,189,18,1.000000,-0.186856,0.057558,-3.246398,5.000000,0.988607,0.999137
8,547,54,1.000000,0.215145,0.196761,1.093434,5.000000,0.162031,0.607616
9,200,20,1.000000,0.336416,0.287393,1.170578,5.000000,0.147259,0.607616
10,89,8,1.000000,0.115069,0.183640,0.626601,5.000000,0.279207,0.824371
11,191,19,1.000000,0.168345,0.359737,0.467968,5.000000,0.329748,0.824371
12,36,3,1.000000,0.392755,0.322273,1.218701,5.000000,0.138658,0.607616
13,30,3,1.000000,0.255365,0.201677,1.266205,5.000000,0.130612,0.607616
14,15,1,1.000000,-0.100949,0.097823,-1.031964,5.000000,0.825301,0.999137
15,14,1,1.000000,-0.043328,0.170623,-0.253939,5.000000,0.595173,0.999137
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
