Contrast name:,Group (SameAll)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.239585,0.107301,2.232825,5.000000,0.037948,0.317429
2,1804,180,1.000000,-0.038572,0.089905,-0.429033,5.000000,0.657122,0.821402
3,785,78,1.000000,-0.051201,0.044929,-1.139584,5.000000,0.846954,0.891572
4,650,65,1.000000,0.065086,0.043340,1.501769,5.000000,0.096732,0.317429
5,1167,116,1.000000,-0.115939,0.082069,-1.412699,5.000000,0.891572,0.891572
6,327,32,1.000000,0.288593,0.144476,1.997513,5.000000,0.051132,0.317429
7,189,18,1.000000,0.272512,0.257645,1.057704,5.000000,0.169296,0.317429
8,547,54,1.000000,0.042474,0.206066,0.206118,5.000000,0.422414,0.576020
9,200,20,1.000000,0.272291,0.252507,1.078348,5.000000,0.165065,0.317429
10,89,8,1.000000,0.138640,0.207348,0.668632,5.000000,0.266677,0.400016
11,191,19,1.000000,0.225696,0.194168,1.162379,5.000000,0.148771,0.317429
12,36,3,1.000000,0.169804,0.249108,0.681648,5.000000,0.262874,0.400016
13,30,3,1.000000,0.327563,0.237443,1.379543,5.000000,0.113117,0.317429
14,15,1,1.000000,-0.155741,0.192642,-0.808447,5.000000,0.772219,0.891022
15,14,1,1.000000,0.097036,0.080241,1.209315,5.000000,0.140299,0.317429
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
