Contrast name:,Group (SameAg-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.060903,0.112192,-0.542850,5.000000,0.694727,0.917038
2,1804,180,1.000000,-0.025846,0.061241,-0.422046,5.000000,0.654738,0.917038
3,785,78,1.000000,-0.018504,0.093341,-0.198242,5.000000,0.574668,0.917038
4,650,65,1.000000,-0.073113,0.074131,-0.986271,5.000000,0.815355,0.917038
5,1167,116,1.000000,-0.010128,0.097435,-0.103945,5.000000,0.539373,0.917038
6,327,32,1.000000,-0.004206,0.116771,-0.036023,5.000000,0.513671,0.917038
7,189,18,1.000000,0.000134,0.177441,0.000755,5.000000,0.499713,0.917038
8,547,54,1.000000,-0.096930,0.164103,-0.590665,5.000000,0.709784,0.917038
9,200,20,1.000000,-0.194509,0.163733,-1.187967,5.000000,0.855902,0.917038
10,89,8,1.000000,-0.206628,0.209062,-0.988357,5.000000,0.815819,0.917038
11,191,19,1.000000,0.086348,0.300686,0.287169,5.000000,0.392752,0.917038
12,36,3,1.000000,-0.103064,0.449933,-0.229066,5.000000,0.586054,0.917038
13,30,3,1.000000,-0.137188,0.138850,-0.988031,5.000000,0.815746,0.917038
14,15,1,1.000000,0.002248,0.180742,0.012437,5.000000,0.495279,0.917038
15,14,1,1.000000,-0.226541,0.105708,-2.143080,5.000000,0.957507,0.957507
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
