Contrast name:,Group (Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,0.255778,0.092756,2.757546,5.000000,0.019975,0.099877
2,1804,180,1.000000,0.047963,0.071132,0.674288,5.000000,0.265020,0.567900
3,785,78,1.000000,0.039371,0.043344,0.908345,5.000000,0.202674,0.506686
4,650,65,1.000000,0.181116,0.055509,3.262790,5.000000,0.011188,0.083912
5,1167,116,1.000000,-0.025178,0.059555,-0.422761,5.000000,0.654982,0.755749
6,327,32,1.000000,0.507933,0.129839,3.912022,5.000000,0.005636,0.083912
7,189,18,1.000000,0.459368,0.231112,1.987642,5.000000,0.051781,0.194178
8,547,54,1.000000,-0.172671,0.093386,-1.849007,5.000000,0.938147,0.938147
9,200,20,1.000000,-0.064125,0.216707,-0.295907,5.000000,0.610402,0.755749
10,89,8,1.000000,0.023570,0.226438,0.104092,5.000000,0.460571,0.690857
11,191,19,1.000000,0.057351,0.275952,0.207830,5.000000,0.421781,0.690857
12,36,3,1.000000,-0.222951,0.155545,-1.433354,5.000000,0.894399,0.938147
13,30,3,1.000000,0.072198,0.210273,0.343355,5.000000,0.372649,0.690857
14,15,1,1.000000,-0.054791,0.142742,-0.383846,5.000000,0.641564,0.755749
15,14,1,1.000000,0.140364,0.112731,1.245121,5.000000,0.134130,0.402389
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
