Contrast name:,Group (All-Cont)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[1;4],c[1;5],c[1;6],c[1;7],c[1;8],c[1;9],c[1;10],c[1;11],c[1;12],c[1;13],c[1;14],c[1;15],c[1;16],c[1;17],c[1;18],c[1;19],
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,11459,1145,1.000000,-0.060735,0.071227,-0.852705,5.000000,0.783620,0.972643
2,1804,180,1.000000,-0.068051,0.033443,-2.034879,5.000000,0.951249,0.972643
3,785,78,1.000000,-0.060435,0.049900,-1.211120,5.000000,0.860018,0.972643
4,650,65,1.000000,-0.107923,0.046831,-2.304515,5.000000,0.965310,0.972643
5,1167,116,1.000000,-0.051942,0.036561,-1.420685,5.000000,0.892673,0.972643
6,327,32,1.000000,-0.127845,0.051207,-2.496641,5.000000,0.972643,0.972643
7,189,18,1.000000,-0.049872,0.061001,-0.817559,5.000000,0.774602,0.972643
8,547,54,1.000000,0.171396,0.116355,1.473049,5.000000,0.100364,0.972643
9,200,20,1.000000,0.073942,0.172555,0.428514,5.000000,0.343055,0.972643
10,89,8,1.000000,-0.004698,0.124057,-0.037870,5.000000,0.514372,0.972643
11,191,19,1.000000,0.208713,0.268373,0.777696,5.000000,0.235962,0.972643
12,36,3,1.000000,0.288737,0.260488,1.108448,5.000000,0.159059,0.972643
13,30,3,1.000000,0.041478,0.151328,0.274092,5.000000,0.397489,0.972643
14,15,1,1.000000,0.002312,0.074401,0.031071,5.000000,0.488208,0.972643
15,14,1,1.000000,-0.165505,0.128596,-1.287007,5.000000,0.872775,0.972643
16,2,0,0.000000,NaN,NaN,NaN,0.000000,NaN,NaN
