color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition
yellow,01_G_CG_Bee_1_NA.ogv,1,G,CG,Bee,1,NA,1,A
yellow,01_G_CG_Bee_1_NF.ogv,1,G,CG,Bee,1,NF,2,B
yellow,01_G_CG_Bee_1.ogg,1,G,CG,Bee,1,audio,3,E
yellow,01_NG_CG_XX_1_NA.ogv,1,NG,CG,XX,1,NA,4,C
yellow,01_NG_CG_XX_1_NF.ogv,1,NG,CG,XX,1,NF,5,D
yellow,02_G_CG_Bee_2_NA.ogv,2,G,CG,Bee,2,NA,5,A
yellow,02_G_CG_Bee_2_NF.ogv,2,G,CG,Bee,2,NF,1,B
yellow,02_G_CG_Bee_2.ogg,2,G,CG,Bee,2,audio,2,E
yellow,02_NG_CG_XX_2_NA.ogv,2,NG,CG,XX,2,NA,3,C
yellow,02_NG_CG_XX_2_NF.ogv,2,NG,CG,XX,2,NF,4,D
yellow,03_G_CG_Bee_3_NA.ogv,3,G,CG,Bee,3,NA,4,A
yellow,03_G_CG_Bee_3_NF.ogv,3,G,CG,Bee,3,NF,5,B
yellow,03_G_CG_Bee_3.ogg,3,G,CG,Bee,3,audio,1,E
yellow,03_NG_CG_XX_3_NA.ogv,3,NG,CG,XX,3,NA,2,C
yellow,03_NG_CG_XX_3_NF.ogv,3,NG,CG,XX,3,NF,3,D
yellow,04_G_CG_Bee_4_NA.ogv,4,G,CG,Bee,4,NA,3,A
yellow,04_G_CG_Bee_4_NF.ogv,4,G,CG,Bee,4,NF,4,B
yellow,04_G_CG_Bee_4.ogg,4,G,CG,Bee,4,audio,5,E
yellow,04_NG_CG_XX_4_NA.ogv,4,NG,CG,XX,4,NA,1,C
yellow,04_NG_CG_XX_4_NF.ogv,4,NG,CG,XX,4,NF,2,D
yellow,05_G_CG_Frog_1_NA.ogv,5,G,CG,Frog,1,NA,2,A
yellow,05_G_CG_Frog_1_NF.ogv,5,G,CG,Frog,1,NF,3,B
yellow,05_G_CG_Frog_1.ogg,5,G,CG,Frog,1,audio,4,E
yellow,05_NG_CG_XX_5_NA.ogv,5,NG,CG,XX,5,NA,5,C
yellow,05_NG_CG_XX_5_NF.ogv,5,NG,CG,XX,5,NF,1,D
yellow,06_G_CG_Frog_2_NA.ogv,6,G,CG,Frog,2,NA,1,A
yellow,06_G_CG_Frog_2_NF.ogv,6,G,CG,Frog,2,NF,2,B
yellow,06_G_CG_Frog_2.ogg,6,G,CG,Frog,2,audio,3,E
yellow,06_NG_CG_XX_6_NA.ogv,6,NG,CG,XX,6,NA,4,C
yellow,06_NG_CG_XX_6_NF.ogv,6,NG,CG,XX,6,NF,5,D
yellow,07_G_CG_Frog_3_NA.ogv,7,G,CG,Frog,3,NA,5,A
yellow,07_G_CG_Frog_3_NF.ogv,7,G,CG,Frog,3,NF,1,B
yellow,07_G_CG_Frog_3.ogg,7,G,CG,Frog,3,audio,2,E
yellow,07_NG_CG_XX_7_NA.ogv,7,NG,CG,XX,7,NA,3,C
yellow,07_NG_CG_XX_7_NF.ogv,7,NG,CG,XX,7,NF,4,D
yellow,08_G_CG_Frog_4_NA.ogv,8,G,CG,Frog,4,NA,4,A
yellow,08_G_CG_Frog_4_NF.ogv,8,G,CG,Frog,4,NF,5,B
yellow,08_G_CG_Frog_4.ogg,8,G,CG,Frog,4,audio,1,E
yellow,08_NG_CG_XX_8_NA.ogv,8,NG,CG,XX,8,NA,2,C
yellow,08_NG_CG_XX_8_NF.ogv,8,NG,CG,XX,8,NF,3,D
yellow,09_G_CG_Hood_1_NA.ogv,9,G,CG,Hood,1,NA,3,A
yellow,09_G_CG_Hood_1_NF.ogv,9,G,CG,Hood,1,NF,4,B
yellow,09_G_CG_Hood_1.ogg,9,G,CG,Hood,1,audio,5,E
yellow,09_NG_CG_XX_9_NA.ogv,9,NG,CG,XX,9,NA,1,C
yellow,09_NG_CG_XX_9_NF.ogv,9,NG,CG,XX,9,NF,2,D
yellow,10_G_CG_Hood_2_NA.ogv,10,G,CG,Hood,2,NA,2,A
yellow,10_G_CG_Hood_2_NF.ogv,10,G,CG,Hood,2,NF,3,B
yellow,10_G_CG_Hood_2.ogg,10,G,CG,Hood,2,audio,4,E
yellow,10_NG_CG_XX_10_NA.ogv,10,NG,CG,XX,10,NA,5,C
yellow,10_NG_CG_XX_10_NF.ogv,10,NG,CG,XX,10,NF,1,D
yellow,11_G_CG_Hood_3_NA.ogv,11,G,CG,Hood,3,NA,1,A
yellow,11_G_CG_Hood_3_NF.ogv,11,G,CG,Hood,3,NF,2,B
