color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
purple,61_G_MY_Bee_5_NA.ogv,61,G,MY,Bee,5,NA,1,A,1
blue,31_G_DS_Hood_4_NA.ogv,31,G,DS,Hood,4,NA,1,A,1
yellow,06_G_CG_Frog_2_NA.ogv,6,G,CG,Frog,2,NA,1,A,1
none,117_G_TK_Bee_4_NF.ogv,117,G,TK,Bee,4,NF,1,B,1
red,92_G_ST_Princess_1_NF.ogv,92,G,ST,Princess,1,NF,1,B,1
green,42_G_JH_Frog_1_NF.ogv,42,G,JH,Frog,1,NF,1,B,1
orange,139_NG_VS_XX_8_NA.ogv,139,NG,VS,XX,8,NA,1,C,1
grey,109_NG_SV_XX_15_NA.ogv,109,NG,SV,XX,15,NA,1,C,1
none,114_NG_TK_XX_1_NA.ogv,114,NG,TK,XX,1,NA,1,C,1
purple,70_NG_MY_XX_14_NF.ogv,70,NG,MY,XX,14,NF,1,D,1
orange,145_NG_VS_XX_14_NF.ogv,145,NG,VS,XX,14,NF,1,D,1
yellow,10_NG_CG_XX_10_NF.ogv,10,NG,CG,XX,10,NF,1,D,1
orange,143_G_VS_Hood_4.ogg,143,G,VS,Hood,4,audio,1,E,1
red,93_G_ST_Princess_2.ogg,93,G,ST,Princess,2,audio,1,E,1
purple,73_G_MY_Mother_3.ogg,73,G,MY,Mother,3,audio,1,E,1
blue,28_G_DS_Hood_1.ogg,28,G,DS,Hood,1,audio,1,E,1
green,38_G_JH_Bee_1.ogg,38,G,JH,Bee,1,audio,1,E,1
none,118_G_TK_Frog_1.ogg,118,G,TK,Frog,1,audio,1,E,1
none,120_NG_TK_XX_7_NF.ogv,120,NG,TK,XX,7,NF,1,D,1
green,45_NG_JH_XX_8_NF.ogv,45,NG,JH,XX,8,NF,1,D,1
blue,25_NG_DS_XX_6_NF.ogv,25,NG,DS,XX,6,NF,1,D,1
yellow,14_NG_CG_XX_14_NA.ogv,14,NG,CG,XX,14,NA,1,C,1
purple,74_NG_MY_XX_18_NA.ogv,74,NG,MY,XX,18,NA,1,C,1
green,54_NG_JH_XX_17_NA.ogv,54,NG,JH,XX,17,NA,1,C,1
yellow,12_G_CG_Hood_4_NF.ogv,12,G,CG,Hood,4,NF,1,B,1
grey,97_G_SV_Bee_3_NF.ogv,97,G,SV,Bee,3,NF,1,B,1
purple,72_G_MY_Mother_2_NF.ogv,72,G,MY,Mother,2,NF,1,B,1
grey,96_G_SV_Bee_2_NA.ogv,96,G,SV,Bee,2,NA,1,A,1
orange,141_G_VS_Hood_2_NA.ogv,141,G,VS,Hood,2,NA,1,A,1
green,51_G_JH_Mother_2_NA.ogv,51,G,JH,Mother,2,NA,1,A,1
