color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,08_G_CG_Frog_4.ogg,8,G,CG,Frog,4,audio,1,E,2
orange,143_G_VS_Hood_4.ogg,143,G,VS,Hood,4,audio,1,E,2
green,53_G_JH_Mother_4.ogg,53,G,JH,Mother,4,audio,1,E,2
orange,141_G_VS_Hood_2_NA.ogv,141,G,VS,Hood,2,NA,1,A,2
purple,61_G_MY_Bee_5_NA.ogv,61,G,MY,Bee,5,NA,1,A,2
grey,101_G_SV_Frog_3_NA.ogv,101,G,SV,Frog,3,NA,1,A,2
green,47_G_JH_Hood_2_NF.ogv,47,G,JH,Hood,2,NF,1,B,2
yellow,07_G_CG_Frog_3_NF.ogv,7,G,CG,Frog,3,NF,1,B,2
blue,22_G_DS_Bee_3_NF.ogv,22,G,DS,Bee,3,NF,1,B,2
purple,69_NG_MY_XX_13_NA.ogv,69,NG,MY,XX,13,NA,1,C,2
orange,134_NG_VS_XX_3_NA.ogv,134,NG,VS,XX,3,NA,1,C,2
yellow,04_NG_CG_XX_4_NA.ogv,4,NG,CG,XX,4,NA,1,C,2
purple,60_NG_MY_XX_4_NF.ogv,60,NG,MY,XX,4,NF,1,D,2
grey,100_NG_SV_XX_6_NF.ogv,100,NG,SV,XX,6,NF,1,D,2
blue,20_NG_DS_XX_1_NF.ogv,20,NG,DS,XX,1,NF,1,D,2
orange,135_NG_VS_XX_4_NF.ogv,135,NG,VS,XX,4,NF,1,D,2
green,55_NG_JH_XX_18_NF.ogv,55,NG,JH,XX,18,NF,1,D,2
none,115_NG_TK_XX_2_NF.ogv,115,NG,TK,XX,2,NF,1,D,2
green,39_NG_JH_XX_2_NA.ogv,39,NG,JH,XX,2,NA,1,C,2
red,89_NG_ST_XX_14_NA.ogv,89,NG,ST,XX,14,NA,1,C,2
grey,104_NG_SV_XX_10_NA.ogv,104,NG,SV,XX,10,NA,1,C,2
red,77_G_ST_Bee_2_NF.ogv,77,G,ST,Bee,2,NF,1,B,2
grey,107_G_SV_Mother_1_NF.ogv,107,G,SV,Mother,1,NF,1,B,2
purple,67_G_MY_Hood_1_NF.ogv,67,G,MY,Hood,1,NF,1,B,2
yellow,06_G_CG_Frog_2_NA.ogv,6,G,CG,Frog,2,NA,1,A,2
red,76_G_ST_Bee_1_NA.ogv,76,G,ST,Bee,1,NA,1,A,2
none,131_G_TK_Princess_2_NA.ogv,131,G,TK,Princess,2,NA,1,A,2
purple,58_G_MY_Bee_2.ogg,58,G,MY,Bee,2,audio,1,E,2
none,128_G_TK_Mother_3.ogg,128,G,TK,Mother,3,audio,1,E,2
blue,28_G_DS_Hood_1.ogg,28,G,DS,Hood,1,audio,1,E,2
