color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
blue,31_G_DS_Hood_4_NF.ogv,31,G,DS,Hood,4,NF,2,B,1
none,126_G_TK_Mother_1_NF.ogv,126,G,TK,Mother,1,NF,2,B,1
red,76_G_ST_Bee_1_NF.ogv,76,G,ST,Bee,1,NF,2,B,1
green,48_NG_JH_XX_11_NA.ogv,48,NG,JH,XX,11,NA,2,C,1
yellow,03_NG_CG_XX_3_NA.ogv,3,NG,CG,XX,3,NA,2,C,1
purple,68_NG_MY_XX_12_NA.ogv,68,NG,MY,XX,12,NA,2,C,1
purple,69_NG_MY_XX_13_NF.ogv,69,NG,MY,XX,13,NF,2,D,1
red,84_NG_ST_XX_9_NF.ogv,84,NG,ST,XX,9,NF,2,D,1
blue,29_NG_DS_XX_10_NF.ogv,29,NG,DS,XX,10,NF,2,D,1
grey,97_G_SV_Bee_3.ogg,97,G,SV,Bee,3,audio,2,E,1
red,92_G_ST_Princess_1.ogg,92,G,ST,Princess,1,audio,2,E,1
orange,142_G_VS_Hood_3.ogg,142,G,VS,Hood,3,audio,2,E,1
blue,35_G_DS_Princess_1_NA.ogv,35,G,DS,Princess,1,NA,2,A,1
red,80_G_ST_Frog_1_NA.ogv,80,G,ST,Frog,1,NA,2,A,1
purple,75_G_MY_Mother_5_NA.ogv,75,G,MY,Mother,5,NA,2,A,1
grey,100_G_SV_Frog_2_NA.ogv,100,G,SV,Frog,2,NA,2,A,1
orange,140_G_VS_Hood_1_NA.ogv,140,G,VS,Hood,1,NA,2,A,1
yellow,15_G_CG_Mother_3_NA.ogv,15,G,CG,Mother,3,NA,2,A,1
purple,62_G_MY_Frog_1.ogg,62,G,MY,Frog,1,audio,2,E,1
none,122_G_TK_Hood_1.ogg,122,G,TK,Hood,1,audio,2,E,1
blue,37_G_DS_Princess_3.ogg,37,G,DS,Princess,3,audio,2,E,1
orange,149_NG_VS_XX_18_NF.ogv,149,NG,VS,XX,18,NF,2,D,1
yellow,09_NG_CG_XX_9_NF.ogv,9,NG,CG,XX,9,NF,2,D,1
green,44_NG_JH_XX_7_NF.ogv,44,NG,JH,XX,7,NF,2,D,1
blue,23_NG_DS_XX_4_NA.ogv,23,NG,DS,XX,4,NA,2,C,1
red,83_NG_ST_XX_8_NA.ogv,83,NG,ST,XX,8,NA,2,C,1
grey,98_NG_SV_XX_4_NA.ogv,98,NG,SV,XX,4,NA,2,C,1
yellow,06_G_CG_Frog_2_NF.ogv,6,G,CG,Frog,2,NF,2,B,1
grey,96_G_SV_Bee_2_NF.ogv,96,G,SV,Bee,2,NF,2,B,1
green,46_G_JH_Hood_1_NF.ogv,46,G,JH,Hood,1,NF,2,B,1
