color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
orange,147_NG_VS_XX_16_NF.ogv,147,NG,VS,XX,16,NF,4,D,2
grey,102_NG_SV_XX_8_NF.ogv,102,NG,SV,XX,8,NF,4,D,2
green,52_NG_JH_XX_15_NF.ogv,52,NG,JH,XX,15,NF,4,D,2
red,80_G_ST_Frog_1.ogg,80,G,ST,Frog,1,audio,4,E,2
blue,35_G_DS_Princess_1.ogg,35,G,DS,Princess,1,audio,4,E,2
none,125_G_TK_Hood_4.ogg,125,G,TK,Hood,4,audio,4,E,2
green,53_G_JH_Mother_4_NA.ogv,53,G,JH,Mother,4,NA,4,A,2
purple,63_G_MY_Frog_2_NA.ogv,63,G,MY,Frog,2,NA,4,A,2
blue,23_G_DS_Bee_4_NA.ogv,23,G,DS,Bee,4,NA,4,A,2
orange,139_G_VS_Frog_4_NF.ogv,139,G,VS,Frog,4,NF,4,B,2
grey,109_G_SV_Mother_3_NF.ogv,109,G,SV,Mother,3,NF,4,B,2
none,124_G_TK_Hood_3_NF.ogv,124,G,TK,Hood,3,NF,4,B,2
green,56_NG_JH_XX_19_NA.ogv,56,NG,JH,XX,19,NA,4,C,2
blue,36_NG_DS_XX_17_NA.ogv,36,NG,DS,XX,17,NA,4,C,2
red,81_NG_ST_XX_6_NA.ogv,81,NG,ST,XX,6,NA,4,C,2
none,116_NG_TK_XX_3_NA.ogv,116,NG,TK,XX,3,NA,4,C,2
purple,66_NG_MY_XX_10_NA.ogv,66,NG,MY,XX,10,NA,4,C,2
yellow,06_NG_CG_XX_6_NA.ogv,6,NG,CG,XX,6,NA,4,C,2
purple,74_G_MY_Mother_4_NF.ogv,74,G,MY,Mother,4,NF,4,B,2
red,79_G_ST_Bee_4_NF.ogv,79,G,ST,Bee,4,NF,4,B,2
green,49_G_JH_Hood_4_NF.ogv,49,G,JH,Hood,4,NF,4,B,2
red,88_G_ST_Mother_1_NA.ogv,88,G,ST,Mother,1,NA,4,A,2
orange,138_G_VS_Frog_3_NA.ogv,138,G,VS,Frog,3,NA,4,A,2
grey,113_G_SV_Princess_3_NA.ogv,113,G,SV,Princess,3,NA,4,A,2
purple,60_G_MY_Bee_4.ogg,60,G,MY,Bee,4,audio,4,E,2
grey,100_G_SV_Frog_2.ogg,100,G,SV,Frog,2,audio,4,E,2
green,50_G_JH_Mother_1.ogg,50,G,JH,Mother,1,audio,4,E,2
yellow,02_NG_CG_XX_2_NF.ogv,2,NG,CG,XX,2,NF,4,D,2
red,87_NG_ST_XX_12_NF.ogv,87,NG,ST,XX,12,NF,4,D,2
purple,72_NG_MY_XX_16_NF.ogv,72,NG,MY,XX,16,NF,4,D,2
