file,manner,path,agent,itemset,blocktype,blocknum
wheelie_to_8.mpg,wheelie,to,8,W,P,1
sine_to_1.mpg,sine,to,1,W,P,1
rotate_to_2.mpg,rotate,to,2,W,P,1
rock_to_3.mpg,rock,to,3,W,P,1
stopstart_under_5.mpg,stopstart,under,5,X,A,2
halfrotate_past_5.mpg,halfrotate,past,5,X,A,2
bounce_underfar_5.mpg,bounce,underfar,5,X,A,2
vibrate_behind_5.mpg,vibrate,behind,5,X,A,2
rock_circle_1.mpg,rock,circle,1,W,D,3
rotate_onto_2.mpg,rotate,onto,2,W,D,3
sine_to_3.mpg,sine,to,3,W,D,3
wheelie_tofar_8.mpg,wheelie,tofar,8,W,D,3
none_loc6_4.mpg,none,loc6,4,Z,C,4
none_loc7_5.mpg,none,loc7,5,Z,C,4
none_loc8_6.mpg,none,loc8,6,Z,C,4
none_loc5_7.mpg,none,loc5,7,Z,C,4
sine_onto_2.mpg,sine,onto,2,W,S,5
sine_onto_2.mpg,sine,onto,2,W,S,5
sine_onto_2.mpg,sine,onto,2,W,S,5
sine_onto_2.mpg,sine,onto,2,W,S,5
bounce_under_6.mpg,bounce,under,6,X,M,6
bounce_past_4.mpg,bounce,past,4,X,M,6
bounce_behind_5.mpg,bounce,behind,5,X,M,6
bounce_underfar_7.mpg,bounce,underfar,7,X,M,6
wheelie_tofar_1.mpg,wheelie,tofar,1,W,M,7
wheelie_to_2.mpg,wheelie,to,2,W,M,7
wheelie_circle_3.mpg,wheelie,circle,3,W,M,7
wheelie_onto_8.mpg,wheelie,onto,8,W,M,7
stopstart_underfar_7.mpg,stopstart,underfar,7,X,S,8
stopstart_underfar_7.mpg,stopstart,underfar,7,X,S,8
stopstart_underfar_7.mpg,stopstart,underfar,7,X,S,8
stopstart_underfar_7.mpg,stopstart,underfar,7,X,S,8
none_loc4_2.mpg,none,loc4,2,Y,C,9
none_loc2_3.mpg,none,loc2,3,Y,C,9
none_loc3_1.mpg,none,loc3,1,Y,C,9
none_loc1_8.mpg,none,loc1,8,Y,C,9
halfrotate_behind_7.mpg,halfrotate,behind,7,X,D,10
stopstart_underfar_4.mpg,stopstart,underfar,4,X,D,10
bounce_past_5.mpg,bounce,past,5,X,D,10
vibrate_under_6.mpg,vibrate,under,6,X,D,10
rotate_onto_3.mpg,rotate,onto,3,W,A,11
wheelie_to_3.mpg,wheelie,to,3,W,A,11
rock_tofar_3.mpg,rock,tofar,3,W,A,11
sine_circle_3.mpg,sine,circle,3,W,A,11
vibrate_under_4.mpg,vibrate,under,4,X,P,12
bounce_under_5.mpg,bounce,under,5,X,P,12
stopstart_under_6.mpg,stopstart,under,6,X,P,12
halfrotate_under_7.mpg,halfrotate,under,7,X,P,12
