color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,85_NG_ST_XX_10_NF.ogv,85,NG,ST,XX,10,NF,1,D,4
none,125_NG_TK_XX_12_NF.ogv,125,NG,TK,XX,12,NF,1,D,4
blue,35_NG_DS_XX_16_NF.ogv,35,NG,DS,XX,16,NF,1,D,4
orange,143_G_VS_Hood_4.ogg,143,G,VS,Hood,4,audio,1,E,4
purple,73_G_MY_Mother_3.ogg,73,G,MY,Mother,3,audio,1,E,4
grey,113_G_SV_Princess_3.ogg,113,G,SV,Princess,3,audio,1,E,4
red,86_G_ST_Hood_3_NA.ogv,86,G,ST,Hood,3,NA,1,A,4
yellow,16_G_CG_Mother_4_NA.ogv,16,G,CG,Mother,4,NA,1,A,4
purple,61_G_MY_Bee_5_NA.ogv,61,G,MY,Bee,5,NA,1,A,4
grey,107_G_SV_Mother_1_NF.ogv,107,G,SV,Mother,1,NF,1,B,4
purple,57_G_MY_Bee_1_NF.ogv,57,G,MY,Bee,1,NF,1,B,4
red,82_G_ST_Frog_3_NF.ogv,82,G,ST,Frog,3,NF,1,B,4
orange,139_NG_VS_XX_8_NA.ogv,139,NG,VS,XX,8,NA,1,C,4
green,39_NG_JH_XX_2_NA.ogv,39,NG,JH,XX,2,NA,1,C,4
yellow,19_NG_CG_XX_19_NA.ogv,19,NG,CG,XX,19,NA,1,C,4
grey,104_NG_SV_XX_10_NA.ogv,104,NG,SV,XX,10,NA,1,C,4
none,129_NG_TK_XX_16_NA.ogv,129,NG,TK,XX,16,NA,1,C,4
red,84_NG_ST_XX_9_NA.ogv,84,NG,ST,XX,9,NA,1,C,4
green,42_G_JH_Frog_1_NF.ogv,42,G,JH,Frog,1,NF,1,B,4
blue,22_G_DS_Bee_3_NF.ogv,22,G,DS,Bee,3,NF,1,B,4
yellow,12_G_CG_Hood_4_NF.ogv,12,G,CG,Hood,4,NF,1,B,4
blue,21_G_DS_Bee_2_NA.ogv,21,G,DS,Bee,2,NA,1,A,4
none,131_G_TK_Princess_2_NA.ogv,131,G,TK,Princess,2,NA,1,A,4
grey,101_G_SV_Frog_3_NA.ogv,101,G,SV,Frog,3,NA,1,A,4
yellow,18_G_CG_Princess_2.ogg,18,G,CG,Princess,2,audio,1,E,4
green,48_G_JH_Hood_3.ogg,48,G,JH,Hood,3,audio,1,E,4
red,78_G_ST_Bee_3.ogg,78,G,ST,Bee,3,audio,1,E,4
orange,135_NG_VS_XX_4_NF.ogv,135,NG,VS,XX,4,NF,1,D,4
yellow,15_NG_CG_XX_15_NF.ogv,15,NG,CG,XX,15,NF,1,D,4
purple,75_NG_MY_XX_19_NF.ogv,75,NG,MY,XX,19,NF,1,D,4
