color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,14_NG_CG_XX_14_NA.ogv,14,NG,CG,XX,14,NA,1,C,1
green,49_NG_JH_XX_12_NA.ogv,49,NG,JH,XX,12,NA,1,C,1
orange,144_NG_VS_XX_13_NA.ogv,144,NG,VS,XX,13,NA,1,C,1
red,90_NG_ST_XX_15_NF.ogv,90,NG,ST,XX,15,NF,1,D,1
green,50_NG_JH_XX_13_NF.ogv,50,NG,JH,XX,13,NF,1,D,1
orange,145_NG_VS_XX_14_NF.ogv,145,NG,VS,XX,14,NF,1,D,1
orange,138_G_VS_Frog_3.ogg,138,G,VS,Frog,3,audio,1,E,1
blue,23_G_DS_Bee_4.ogg,23,G,DS,Bee,4,audio,1,E,1
grey,103_G_SV_Hood_1.ogg,103,G,SV,Hood,1,audio,1,E,1
purple,66_G_MY_Frog_5_NA.ogv,66,G,MY,Frog,5,NA,1,A,1
orange,146_G_VS_Mother_3_NA.ogv,146,G,VS,Mother,3,NA,1,A,1
green,41_G_JH_Bee_4_NA.ogv,41,G,JH,Bee,4,NA,1,A,1
orange,147_G_VS_Mother_4_NF.ogv,147,G,VS,Mother,4,NF,1,B,1
none,122_G_TK_Hood_1_NF.ogv,122,G,TK,Hood,1,NF,1,B,1
red,82_G_ST_Frog_3_NF.ogv,82,G,ST,Frog,3,NF,1,B,1
green,42_G_JH_Frog_1_NF.ogv,42,G,JH,Frog,1,NF,1,B,1
blue,32_G_DS_Mother_1_NF.ogv,32,G,DS,Mother,1,NF,1,B,1
grey,112_G_SV_Princess_2_NF.ogv,112,G,SV,Princess,2,NF,1,B,1
red,81_G_ST_Frog_2_NA.ogv,81,G,ST,Frog,2,NA,1,A,1
blue,31_G_DS_Hood_4_NA.ogv,31,G,DS,Hood,4,NA,1,A,1
grey,96_G_SV_Bee_2_NA.ogv,96,G,SV,Bee,2,NA,1,A,1
none,123_G_TK_Hood_2.ogg,123,G,TK,Hood,2,audio,1,E,1
red,93_G_ST_Princess_2.ogg,93,G,ST,Princess,2,audio,1,E,1
green,38_G_JH_Bee_1.ogg,38,G,JH,Bee,1,audio,1,E,1
yellow,15_NG_CG_XX_15_NF.ogv,15,NG,CG,XX,15,NF,1,D,1
none,130_NG_TK_XX_17_NF.ogv,130,NG,TK,XX,17,NF,1,D,1
grey,105_NG_SV_XX_11_NF.ogv,105,NG,SV,XX,11,NF,1,D,1
grey,109_NG_SV_XX_15_NA.ogv,109,NG,SV,XX,15,NA,1,C,1
none,129_NG_TK_XX_16_NA.ogv,129,NG,TK,XX,16,NA,1,C,1
red,79_NG_ST_XX_4_NA.ogv,79,NG,ST,XX,4,NA,1,C,1
