color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
yellow,10_NG_CG_XX_10_NF.ogv,10,NG,CG,XX,10,NF,1,D,5
orange,150_NG_VS_XX_19_NF.ogv,150,NG,VS,XX,19,NF,1,D,5
purple,65_NG_MY_XX_9_NF.ogv,65,NG,MY,XX,9,NF,1,D,5
grey,108_G_SV_Mother_2.ogg,108,G,SV,Mother,2,audio,1,E,5
green,43_G_JH_Frog_2.ogg,43,G,JH,Frog,2,audio,1,E,5
orange,148_G_VS_Princess_1.ogg,148,G,VS,Princess,1,audio,1,E,5
blue,26_G_DS_Frog_3_NA.ogv,26,G,DS,Frog,3,NA,1,A,5
yellow,16_G_CG_Mother_4_NA.ogv,16,G,CG,Mother,4,NA,1,A,5
red,86_G_ST_Hood_3_NA.ogv,86,G,ST,Hood,3,NA,1,A,5
yellow,17_G_CG_Princess_1_NF.ogv,17,G,CG,Princess,1,NF,1,B,5
grey,97_G_SV_Bee_3_NF.ogv,97,G,SV,Bee,3,NF,1,B,5
green,52_G_JH_Mother_3_NF.ogv,52,G,JH,Mother,3,NF,1,B,5
green,44_NG_JH_XX_7_NA.ogv,44,NG,JH,XX,7,NA,1,C,5
orange,139_NG_VS_XX_8_NA.ogv,139,NG,VS,XX,8,NA,1,C,5
blue,29_NG_DS_XX_10_NA.ogv,29,NG,DS,XX,10,NA,1,C,5
none,124_NG_TK_XX_11_NA.ogv,124,NG,TK,XX,11,NA,1,C,5
purple,74_NG_MY_XX_18_NA.ogv,74,NG,MY,XX,18,NA,1,C,5
yellow,19_NG_CG_XX_19_NA.ogv,19,NG,CG,XX,19,NA,1,C,5
orange,142_G_VS_Hood_3_NF.ogv,142,G,VS,Hood,3,NF,1,B,5
purple,57_G_MY_Bee_1_NF.ogv,57,G,MY,Bee,1,NF,1,B,5
blue,37_G_DS_Princess_3_NF.ogv,37,G,DS,Princess,3,NF,1,B,5
orange,136_G_VS_Frog_1_NA.ogv,136,G,VS,Frog,1,NA,1,A,5
none,116_G_TK_Bee_3_NA.ogv,116,G,TK,Bee,3,NA,1,A,5
green,46_G_JH_Hood_1_NA.ogv,46,G,JH,Hood,1,NA,1,A,5
yellow,03_G_CG_Bee_3.ogg,3,G,CG,Bee,3,audio,1,E,5
purple,73_G_MY_Mother_3.ogg,73,G,MY,Mother,3,audio,1,E,5
red,83_G_ST_Frog_4.ogg,83,G,ST,Frog,4,audio,1,E,5
red,85_NG_ST_XX_10_NF.ogv,85,NG,ST,XX,10,NF,1,D,5
blue,30_NG_DS_XX_11_NF.ogv,30,NG,DS,XX,11,NF,1,D,5
none,120_NG_TK_XX_7_NF.ogv,120,NG,TK,XX,7,NF,1,D,5
