color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
none,122_G_TK_Hood_1.ogg,122,G,TK,Hood,1,audio,2,E,1
purple,62_G_MY_Frog_1.ogg,62,G,MY,Frog,1,audio,2,E,1
orange,132_G_VS_Bee_1.ogg,132,G,VS,Bee,1,audio,2,E,1
grey,110_G_SV_Mother_4_NA.ogv,110,G,SV,Mother,4,NA,2,A,1
green,45_G_JH_Frog_4_NA.ogv,45,G,JH,Frog,4,NA,2,A,1
blue,30_G_DS_Hood_3_NA.ogv,30,G,DS,Hood,3,NA,2,A,1
red,76_G_ST_Bee_1_NF.ogv,76,G,ST,Bee,1,NF,2,B,1
orange,141_G_VS_Hood_2_NF.ogv,141,G,VS,Hood,2,NF,2,B,1
none,131_G_TK_Princess_2_NF.ogv,131,G,TK,Princess,2,NF,2,B,1
orange,148_NG_VS_XX_17_NA.ogv,148,NG,VS,XX,17,NA,2,C,1
blue,23_NG_DS_XX_4_NA.ogv,23,NG,DS,XX,4,NA,2,C,1
grey,113_NG_SV_XX_19_NA.ogv,113,NG,SV,XX,19,NA,2,C,1
none,119_NG_TK_XX_6_NF.ogv,119,NG,TK,XX,6,NF,2,D,1
orange,149_NG_VS_XX_18_NF.ogv,149,NG,VS,XX,18,NF,2,D,1
blue,29_NG_DS_XX_10_NF.ogv,29,NG,DS,XX,10,NF,2,D,1
red,89_NG_ST_XX_14_NF.ogv,89,NG,ST,XX,14,NF,2,D,1
yellow,04_NG_CG_XX_4_NF.ogv,4,NG,CG,XX,4,NF,2,D,1
grey,109_NG_SV_XX_15_NF.ogv,109,NG,SV,XX,15,NF,2,D,1
green,53_NG_JH_XX_16_NA.ogv,53,NG,JH,XX,16,NA,2,C,1
yellow,03_NG_CG_XX_3_NA.ogv,3,NG,CG,XX,3,NA,2,C,1
purple,73_NG_MY_XX_17_NA.ogv,73,NG,MY,XX,17,NA,2,C,1
green,41_G_JH_Bee_4_NF.ogv,41,G,JH,Bee,4,NF,2,B,1
yellow,06_G_CG_Frog_2_NF.ogv,6,G,CG,Frog,2,NF,2,B,1
blue,31_G_DS_Hood_4_NF.ogv,31,G,DS,Hood,4,NF,2,B,1
none,130_G_TK_Princess_1_NA.ogv,130,G,TK,Princess,1,NA,2,A,1
yellow,15_G_CG_Mother_3_NA.ogv,15,G,CG,Mother,3,NA,2,A,1
orange,140_G_VS_Hood_1_NA.ogv,140,G,VS,Hood,1,NA,2,A,1
green,52_G_JH_Mother_3.ogg,52,G,JH,Mother,3,audio,2,E,1
red,87_G_ST_Hood_4.ogg,87,G,ST,Hood,4,audio,2,E,1
blue,27_G_DS_Frog_4.ogg,27,G,DS,Frog,4,audio,2,E,1
