color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
red,88_G_ST_Mother_1.ogg,88,G,ST,Mother,1,audio,1,E,5
orange,138_G_VS_Frog_3.ogg,138,G,VS,Frog,3,audio,1,E,5
purple,58_G_MY_Bee_2.ogg,58,G,MY,Bee,2,audio,1,E,5
green,46_G_JH_Hood_1_NA.ogv,46,G,JH,Hood,1,NA,1,A,5
red,81_G_ST_Frog_2_NA.ogv,81,G,ST,Frog,2,NA,1,A,5
yellow,01_G_CG_Bee_1_NA.ogv,1,G,CG,Bee,1,NA,1,A,5
blue,27_G_DS_Frog_4_NF.ogv,27,G,DS,Frog,4,NF,1,B,5
none,127_G_TK_Mother_2_NF.ogv,127,G,TK,Mother,2,NF,1,B,5
yellow,02_G_CG_Bee_2_NF.ogv,2,G,CG,Bee,2,NF,1,B,5
green,49_NG_JH_XX_12_NA.ogv,49,NG,JH,XX,12,NA,1,C,5
orange,134_NG_VS_XX_3_NA.ogv,134,NG,VS,XX,3,NA,1,C,5
yellow,09_NG_CG_XX_9_NA.ogv,9,NG,CG,XX,9,NA,1,C,5
yellow,10_NG_CG_XX_10_NF.ogv,10,NG,CG,XX,10,NF,1,D,5
blue,25_NG_DS_XX_6_NF.ogv,25,NG,DS,XX,6,NF,1,D,5
grey,110_NG_SV_XX_16_NF.ogv,110,NG,SV,XX,16,NF,1,D,5
none,130_NG_TK_XX_17_NF.ogv,130,NG,TK,XX,17,NF,1,D,5
green,40_NG_JH_XX_3_NF.ogv,40,NG,JH,XX,3,NF,1,D,5
orange,140_NG_VS_XX_9_NF.ogv,140,NG,VS,XX,9,NF,1,D,5
red,94_NG_ST_XX_19_NA.ogv,94,NG,ST,XX,19,NA,1,C,5
purple,74_NG_MY_XX_18_NA.ogv,74,NG,MY,XX,18,NA,1,C,5
grey,109_NG_SV_XX_15_NA.ogv,109,NG,SV,XX,15,NA,1,C,5
purple,62_G_MY_Frog_1_NF.ogv,62,G,MY,Frog,1,NF,1,B,5
orange,132_G_VS_Bee_1_NF.ogv,132,G,VS,Bee,1,NF,1,B,5
red,87_G_ST_Hood_4_NF.ogv,87,G,ST,Hood,4,NF,1,B,5
none,126_G_TK_Mother_1_NA.ogv,126,G,TK,Mother,1,NA,1,A,5
blue,31_G_DS_Hood_4_NA.ogv,31,G,DS,Hood,4,NA,1,A,5
grey,96_G_SV_Bee_2_NA.ogv,96,G,SV,Bee,2,NA,1,A,5
yellow,08_G_CG_Frog_4.ogg,8,G,CG,Frog,4,audio,1,E,5
green,38_G_JH_Bee_1.ogg,38,G,JH,Bee,1,audio,1,E,5
none,128_G_TK_Mother_3.ogg,128,G,TK,Mother,3,audio,1,E,5
