color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
grey,97_G_SV_Bee_3_NF.ogv,97,G,SV,Bee,3,NF,1,B,1
blue,27_G_DS_Frog_4_NF.ogv,27,G,DS,Frog,4,NF,1,B,1
none,122_G_TK_Hood_1_NF.ogv,122,G,TK,Hood,1,NF,1,B,1
red,89_NG_ST_XX_14_NA.ogv,89,NG,ST,XX,14,NA,1,C,1
blue,29_NG_DS_XX_10_NA.ogv,29,NG,DS,XX,10,NA,1,C,1
grey,99_NG_SV_XX_5_NA.ogv,99,NG,SV,XX,5,NA,1,C,1
red,85_NG_ST_XX_10_NF.ogv,85,NG,ST,XX,10,NF,1,D,1
grey,95_NG_SV_XX_1_NF.ogv,95,NG,SV,XX,1,NF,1,D,1
blue,30_NG_DS_XX_11_NF.ogv,30,NG,DS,XX,11,NF,1,D,1
purple,73_G_MY_Mother_3.ogg,73,G,MY,Mother,3,audio,1,E,1
red,93_G_ST_Princess_2.ogg,93,G,ST,Princess,2,audio,1,E,1
green,48_G_JH_Hood_3.ogg,48,G,JH,Hood,3,audio,1,E,1
yellow,01_G_CG_Bee_1_NA.ogv,1,G,CG,Bee,1,NA,1,A,1
grey,101_G_SV_Frog_3_NA.ogv,101,G,SV,Frog,3,NA,1,A,1
none,131_G_TK_Princess_2_NA.ogv,131,G,TK,Princess,2,NA,1,A,1
green,51_G_JH_Mother_2_NA.ogv,51,G,JH,Mother,2,NA,1,A,1
blue,21_G_DS_Bee_2_NA.ogv,21,G,DS,Bee,2,NA,1,A,1
purple,66_G_MY_Frog_5_NA.ogv,66,G,MY,Frog,5,NA,1,A,1
orange,148_G_VS_Princess_1.ogg,148,G,VS,Princess,1,audio,1,E,1
grey,108_G_SV_Mother_2.ogg,108,G,SV,Mother,2,audio,1,E,1
none,123_G_TK_Hood_2.ogg,123,G,TK,Hood,2,audio,1,E,1
none,125_NG_TK_XX_12_NF.ogv,125,NG,TK,XX,12,NF,1,D,1
orange,150_NG_VS_XX_19_NF.ogv,150,NG,VS,XX,19,NF,1,D,1
yellow,15_NG_CG_XX_15_NF.ogv,15,NG,CG,XX,15,NF,1,D,1
green,49_NG_JH_XX_12_NA.ogv,49,NG,JH,XX,12,NA,1,C,1
yellow,09_NG_CG_XX_9_NA.ogv,9,NG,CG,XX,9,NA,1,C,1
none,114_NG_TK_XX_1_NA.ogv,114,NG,TK,XX,1,NA,1,C,1
red,77_G_ST_Bee_2_NF.ogv,77,G,ST,Bee,2,NF,1,B,1
orange,147_G_VS_Mother_4_NF.ogv,147,G,VS,Mother,4,NF,1,B,1
yellow,07_G_CG_Frog_3_NF.ogv,7,G,CG,Frog,3,NF,1,B,1
